loan_id,amount_loan,duration_loan,payments_loan,status_loan,frequency_account,n.of trans,op 1,op 2,op 3,op 4,op 5,type 1,type 2,type 3,avg trans amount,avg trans balance,n_banks,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,unemploymant rate '96,nr_clients,birth_date,sex,has card,criminality per capita 95,criminality per capita 96,age_loan,age_account_loan
5479.0,24516.0,12.0,2043.0,0.0,0,73.0,21.0,0.0,42.0,0.0,0.0,33.0,9.0,31.0,16201.56,55582.23,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,581007,1,0,2.4067328767180127e-07,3.568603920650847e-07,35.9103,0.9883
6736.0,288360.0,60.0,4806.0,0.0,2,10.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,8.0,8585.04,33211.76,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,351215,1,0,2.4067328767180127e-07,3.568603920650847e-07,58.9399,0.0387
7220.0,131292.0,36.0,3647.0,0.0,1,83.0,2.0,0.0,44.0,14.0,10.0,53.0,1.0,29.0,7915.58,36635.12,2.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,540320,1,0,2.4067328767180127e-07,3.568603920650847e-07,40.0408,1.0199
6919.0,120888.0,36.0,3358.0,0.0,1,96.0,21.0,0.0,48.0,0.0,12.0,56.0,4.0,36.0,9301.09,40838.76,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,440420,0,0,2.4067328767180127e-07,3.568603920650847e-07,50.0385,1.0478
6038.0,323472.0,48.0,6739.0,0.0,0,57.0,19.0,0.0,24.0,0.0,5.0,25.0,4.0,28.0,12422.02,45414.07,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,401015,0,0,2.4067328767180127e-07,3.568603920650847e-07,53.9795,1.0189
6229.0,11736.0,24.0,489.0,0.0,0,133.0,19.0,0.0,59.0,0.0,38.0,97.0,0.0,36.0,6032.84,42224.44,3.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,380916,1,0,2.4067328767180127e-07,3.568603920650847e-07,56.0086,1.058
7142.0,482940.0,60.0,8049.0,1.0,0,130.0,26.0,0.0,40.0,0.0,34.0,74.0,0.0,56.0,4060.68,26358.75,3.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,760521,0,0,2.4067328767180127e-07,3.568603920650847e-07,18.0698,1.039
5576.0,31248.0,12.0,2604.0,0.0,0,120.0,33.0,0.0,69.0,0.0,0.0,61.0,8.0,51.0,13845.46,64493.1,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,390315,0,0,2.4067328767180127e-07,3.568603920650847e-07,55.0906,1.0691
5739.0,76380.0,12.0,6365.0,0.0,0,45.0,12.0,0.0,13.0,0.0,12.0,25.0,0.0,20.0,3571.59,26122.85,2.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,570628,0,0,2.4067328767180127e-07,3.568603920650847e-07,37.9474,0.9601
6244.0,270648.0,36.0,7518.0,1.0,1,72.0,16.0,0.0,36.0,0.0,0.0,36.0,0.0,36.0,12958.56,60819.98,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,371104,1,0,2.4067328767180127e-07,3.568603920650847e-07,57.9004,0.9801
6960.0,76416.0,24.0,3184.0,0.0,0,153.0,13.0,0.0,60.0,22.0,36.0,89.0,7.0,57.0,6527.34,31375.16,3.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,2.0,370902,1,0,2.4067328767180127e-07,3.568603920650847e-07,57.9209,1.9798
5724.0,316140.0,60.0,5269.0,1.0,0,139.0,38.0,0.0,79.0,0.0,0.0,79.0,0.0,60.0,3872.07,18632.93,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,680222,1,0,2.4067328767180127e-07,3.568603920650847e-07,26.9983,1.9881
7241.0,168984.0,24.0,7041.0,1.0,0,160.0,36.0,0.0,86.0,0.0,0.0,78.0,8.0,74.0,11357.39,56054.0,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,760318,1,0,2.4067328767180127e-07,3.568603920650847e-07,18.9986,1.9494
6546.0,31728.0,24.0,1322.0,0.0,0,117.0,23.0,0.0,62.0,0.0,14.0,76.0,0.0,41.0,5173.09,31139.75,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,2.0,500410,1,0,2.4067328767180127e-07,3.568603920650847e-07,44.9917,1.9422
5740.0,18564.0,12.0,1547.0,0.0,0,13.0,5.0,0.0,4.0,0.0,0.0,4.0,0.0,9.0,8589.67,35538.05,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,630204,0,0,2.4067328767180127e-07,3.568603920650847e-07,32.0198,0.9277
7008.0,36168.0,12.0,3014.0,0.0,0,36.0,2.0,0.0,13.0,7.0,8.0,20.0,1.0,15.0,6931.62,39063.77,3.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,610819,1,0,2.4067328767180127e-07,3.568603920650847e-07,34.0103,0.0618
7057.0,231696.0,36.0,6436.0,0.0,1,126.0,3.0,0.0,57.0,16.0,35.0,83.0,9.0,34.0,10683.37,45873.62,3.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,2.0,730530,1,0,2.4067328767180127e-07,3.568603920650847e-07,22.049,1.0319
7304.0,419880.0,60.0,6998.0,0.0,1,18.0,2.0,0.0,6.0,5.0,1.0,7.0,0.0,11.0,24426.47,59352.83,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,2.0,451030,0,0,2.4067328767180127e-07,3.568603920650847e-07,49.9999,0.0503
6185.0,31176.0,24.0,1299.0,0.0,0,23.0,7.0,0.0,9.0,0.0,2.0,11.0,0.0,12.0,9027.32,46304.15,2.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,680129,1,0,2.4067328767180127e-07,3.568603920650847e-07,27.0999,0.052
6785.0,125340.0,60.0,2089.0,0.0,1,127.0,29.0,0.0,57.0,0.0,13.0,62.0,8.0,57.0,9686.67,51145.52,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,440615,1,0,2.4067328767180127e-07,3.568603920650847e-07,51.061,1.032
6698.0,247728.0,48.0,5161.0,0.0,1,50.0,11.0,0.0,21.0,0.0,6.0,25.0,2.0,23.0,12112.08,60054.73,2.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,790619,1,0,2.4067328767180127e-07,3.568603920650847e-07,16.9691,0.9502
6063.0,320976.0,48.0,6687.0,1.0,0,50.0,1.0,0.0,27.0,8.0,0.0,24.0,3.0,23.0,15093.96,49482.97,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,360809,1,0,2.4067328767180127e-07,3.568603920650847e-07,59.9616,0.9607
5429.0,20196.0,36.0,561.0,0.0,0,96.0,18.0,0.0,49.0,0.0,13.0,62.0,0.0,34.0,8501.32,52636.6,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,710225,1,0,2.4067328767180127e-07,3.568603920650847e-07,25.0493,1.0507
6012.0,258444.0,36.0,7179.0,0.0,1,16.0,7.0,0.0,4.0,0.0,0.0,4.0,0.0,12.0,8680.76,40688.14,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,660527,1,0,2.4067328767180127e-07,3.568603920650847e-07,30.0276,0.0692
5385.0,71460.0,36.0,1985.0,0.0,0,31.0,9.0,0.0,12.0,0.0,3.0,15.0,0.0,16.0,10132.92,49220.98,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,2.0,800831,0,0,2.4067328767180127e-07,3.568603920650847e-07,16.0078,0.0796
7194.0,68832.0,36.0,1912.0,0.0,0,53.0,14.0,0.0,23.0,0.0,6.0,29.0,0.0,24.0,7828.98,37557.05,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,590701,1,0,2.4067328767180127e-07,3.568603920650847e-07,37.0216,0.9894
5375.0,101520.0,12.0,8460.0,0.0,0,38.0,10.0,0.0,16.0,0.0,4.0,20.0,0.0,18.0,5370.04,26449.09,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,761012,0,0,2.4067328767180127e-07,3.568603920650847e-07,19.9991,0.0802
5635.0,77184.0,36.0,2144.0,0.0,0,77.0,20.0,0.0,41.0,0.0,0.0,39.0,2.0,36.0,14561.26,50722.27,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,541209,0,0,2.4067328767180127e-07,3.568603920650847e-07,41.9795,1.0693
6817.0,70656.0,48.0,1472.0,0.0,0,53.0,11.0,0.0,20.0,0.0,4.0,24.0,0.0,29.0,5188.34,32646.85,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,520726,1,0,2.4067328767180127e-07,3.568603920650847e-07,44.0278,0.0899
6309.0,110136.0,24.0,4589.0,0.0,0,63.0,17.0,0.0,28.0,0.0,6.0,34.0,0.0,29.0,11660.54,50815.8,1.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,1.0,580224,0,0,2.4067328767180127e-07,3.568603920650847e-07,38.0887,1.0603
6940.0,228276.0,36.0,6341.0,0.0,0,20.0,8.0,0.0,7.0,0.0,0.0,7.0,0.0,13.0,7186.86,41402.13,0.0,1204953.0,0.0,0.0,0.0,1.0,1.0,100.0,12541.0,0.29,0.43,2.0,610803,1,0,2.4067328767180127e-07,3.568603920650847e-07,35.0319,0.0513
6687.0,87840.0,24.0,3660.0,0.0,0,17.0,2.0,0.0,3.0,4.0,0.0,3.0,0.0,14.0,9496.93,46318.55,1.0,53921.0,61.0,22.0,1.0,1.0,2.0,41.3,8598.0,2.77,3.26,2.0,800216,0,0,5.1371450826208714e-05,6.04588193839135e-05,13.0697,0.0401
6027.0,61656.0,24.0,2569.0,1.0,1,12.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,9.0,16007.96,44763.46,0.0,53921.0,61.0,22.0,1.0,1.0,2.0,41.3,8598.0,2.77,3.26,1.0,531225,0,0,5.1371450826208714e-05,6.04588193839135e-05,42.8985,0.9383
6137.0,44628.0,12.0,3719.0,0.0,1,146.0,2.0,0.0,87.0,21.0,16.0,91.0,12.0,43.0,14238.08,49477.32,2.0,53921.0,61.0,22.0,1.0,1.0,2.0,41.3,8598.0,2.77,3.26,1.0,431126,1,0,5.1371450826208714e-05,6.04588193839135e-05,52.9284,1.9696
5082.0,262980.0,60.0,4383.0,0.0,0,56.0,13.0,0.0,32.0,0.0,0.0,32.0,0.0,24.0,7310.24,41729.62,0.0,53921.0,61.0,22.0,1.0,1.0,2.0,41.3,8598.0,2.77,3.26,1.0,660309,0,0,5.1371450826208714e-05,6.04588193839135e-05,30.0715,1.0003
7284.0,52788.0,12.0,4399.0,0.0,0,43.0,14.0,0.0,14.0,0.0,8.0,22.0,0.0,21.0,3714.9,22198.18,2.0,58796.0,22.0,16.0,7.0,1.0,5.0,51.9,9045.0,3.13,3.6,1.0,730216,1,0,5.3234913939723786e-05,6.122865501054494e-05,20.0699,0.0801
6210.0,87216.0,48.0,1817.0,1.0,0,33.0,3.0,0.0,12.0,6.0,0.0,11.0,1.0,21.0,4041.38,28362.25,1.0,58796.0,22.0,16.0,7.0,1.0,5.0,51.9,9045.0,3.13,3.6,1.0,640513,1,0,5.3234913939723786e-05,6.122865501054494e-05,30.0093,0.948
5980.0,21396.0,12.0,1783.0,0.0,0,78.0,5.0,0.0,44.0,15.0,0.0,38.0,6.0,34.0,4644.44,30812.95,1.0,58796.0,22.0,16.0,7.0,1.0,5.0,51.9,9045.0,3.13,3.6,2.0,680909,1,0,5.3234913939723786e-05,6.122865501054494e-05,26.9909,1.0214
6144.0,44376.0,12.0,3698.0,0.0,0,39.0,13.0,0.0,17.0,0.0,4.0,16.0,5.0,18.0,15332.39,53505.22,1.0,58796.0,22.0,16.0,7.0,1.0,5.0,51.9,9045.0,3.13,3.6,1.0,620523,1,0,5.3234913939723786e-05,6.122865501054494e-05,34.0286,0.0582
6111.0,174744.0,24.0,7281.0,1.0,0,32.0,11.0,0.0,16.0,0.0,0.0,14.0,2.0,16.0,11557.95,37485.46,0.0,122603.0,25.0,21.0,6.0,2.0,8.0,80.0,8991.0,1.39,2.01,1.0,480812,0,0,1.1337406099361353e-05,1.639437860411246e-05,45.0112,0.051
6650.0,49320.0,12.0,4110.0,1.0,2,49.0,12.0,0.0,22.0,0.0,10.0,30.0,2.0,17.0,10548.36,46576.28,2.0,122603.0,25.0,21.0,6.0,2.0,8.0,80.0,8991.0,1.39,2.01,1.0,451003,0,0,1.1337406099361353e-05,1.639437860411246e-05,48.9214,0.9314
7034.0,19044.0,36.0,529.0,0.0,0,69.0,16.0,0.0,40.0,0.0,0.0,40.0,0.0,29.0,6600.44,43121.76,0.0,122603.0,25.0,21.0,6.0,2.0,8.0,80.0,8991.0,1.39,2.01,1.0,740405,0,0,1.1337406099361353e-05,1.639437860411246e-05,22.0306,1.0183
5897.0,15192.0,24.0,633.0,0.0,0,169.0,26.0,0.0,68.0,0.0,54.0,122.0,0.0,47.0,4099.69,29941.91,3.0,122603.0,25.0,21.0,6.0,2.0,8.0,80.0,8991.0,1.39,2.01,1.0,721227,0,0,1.1337406099361353e-05,1.639437860411246e-05,23.9698,1.9815
7235.0,154416.0,48.0,3217.0,0.0,1,32.0,10.0,0.0,16.0,0.0,0.0,14.0,2.0,16.0,9740.15,46715.8,0.0,70699.0,60.0,13.0,2.0,1.0,4.0,65.3,8968.0,2.83,3.35,1.0,690525,0,0,4.0028854722131854e-05,4.738397997142817e-05,24.0488,0.0593
5997.0,117024.0,24.0,4876.0,0.0,0,13.0,1.0,0.0,4.0,4.0,0.0,4.0,0.0,9.0,14122.58,44131.17,1.0,177686.0,69.0,27.0,10.0,1.0,9.0,74.8,10045.0,1.42,1.71,1.0,351003,1,0,7.991625676755625e-06,9.623718244543745e-06,58.0101,0.0484
6734.0,173016.0,36.0,4806.0,0.0,1,94.0,29.0,0.0,47.0,0.0,0.0,42.0,5.0,47.0,13519.83,61799.24,0.0,177686.0,69.0,27.0,10.0,1.0,9.0,74.8,10045.0,1.42,1.71,1.0,450223,0,0,7.991625676755625e-06,9.623718244543745e-06,51.0307,0.9813
5611.0,321180.0,60.0,5353.0,0.0,0,38.0,2.0,0.0,17.0,8.0,4.0,18.0,3.0,17.0,13585.03,40524.46,2.0,177686.0,69.0,27.0,10.0,1.0,9.0,74.8,10045.0,1.42,1.71,2.0,360907,1,0,7.991625676755625e-06,9.623718244543745e-06,60.0208,0.0788
7101.0,421008.0,48.0,8771.0,0.0,0,50.0,13.0,0.0,22.0,0.0,6.0,28.0,0.0,22.0,8521.96,37436.42,1.0,177686.0,69.0,27.0,10.0,1.0,9.0,74.8,10045.0,1.42,1.71,1.0,530601,1,0,7.991625676755625e-06,9.623718244543745e-06,43.0517,0.0999
7121.0,21924.0,36.0,609.0,0.0,0,45.0,12.0,0.0,19.0,0.0,5.0,24.0,0.0,21.0,5957.54,34272.21,1.0,157042.0,49.0,70.0,18.0,0.0,9.0,33.9,8743.0,1.88,2.43,2.0,600820,1,0,1.1971319774327886e-05,1.5473567580647218e-05,33.029,0.0993
6064.0,14628.0,12.0,1219.0,0.0,0,102.0,16.0,0.0,40.0,0.0,33.0,73.0,0.0,29.0,4093.04,32788.14,2.0,157042.0,49.0,70.0,18.0,0.0,9.0,33.9,8743.0,1.88,2.43,1.0,490308,0,0,1.1971319774327886e-05,1.5473567580647218e-05,45.0496,1.0103
7061.0,121896.0,24.0,5079.0,0.0,0,93.0,24.0,0.0,54.0,0.0,0.0,47.0,7.0,39.0,13230.34,54422.6,0.0,157042.0,49.0,70.0,18.0,0.0,9.0,33.9,8743.0,1.88,2.43,1.0,650307,1,0,1.1971319774327886e-05,1.5473567580647218e-05,29.052,1.0399
6624.0,71460.0,12.0,5955.0,0.0,0,43.0,12.0,0.0,19.0,0.0,4.0,22.0,1.0,20.0,10433.44,47991.53,1.0,157042.0,49.0,70.0,18.0,0.0,9.0,33.9,8743.0,1.88,2.43,2.0,450803,1,0,1.1971319774327886e-05,1.5473567580647218e-05,49.0127,0.9822
7154.0,417600.0,60.0,6960.0,0.0,2,34.0,8.0,4.0,9.0,0.0,0.0,13.0,0.0,21.0,8159.97,43196.74,0.0,157042.0,49.0,70.0,18.0,0.0,9.0,33.9,8743.0,1.88,2.43,1.0,701012,1,1,1.1971319774327886e-05,1.5473567580647218e-05,26.0193,1.0181
6077.0,79608.0,24.0,3317.0,0.0,0,53.0,1.0,0.0,31.0,11.0,0.0,28.0,3.0,22.0,17600.36,69954.57,1.0,105606.0,77.0,26.0,7.0,2.0,7.0,53.0,8254.0,2.79,3.76,1.0,700428,1,0,2.6418953468552924e-05,3.560403764937598e-05,23.0694,0.1009
6103.0,149340.0,60.0,2489.0,0.0,1,56.0,3.0,0.0,27.0,10.0,6.0,32.0,1.0,23.0,5778.79,29069.12,1.0,105606.0,77.0,26.0,7.0,2.0,7.0,53.0,8254.0,2.79,3.76,1.0,630201,1,0,2.6418953468552924e-05,3.560403764937598e-05,31.0206,0.9886
7227.0,314520.0,60.0,5242.0,0.0,1,130.0,40.0,0.0,62.0,0.0,12.0,72.0,2.0,56.0,15168.36,63527.42,1.0,105606.0,77.0,26.0,7.0,2.0,7.0,53.0,8254.0,2.79,3.76,1.0,551118,0,0,2.6418953468552924e-05,3.560403764937598e-05,39.9884,1.0397
5593.0,277884.0,36.0,7719.0,1.0,0,117.0,26.0,0.0,71.0,0.0,0.0,70.0,1.0,46.0,10720.31,46487.0,0.0,105606.0,77.0,26.0,7.0,2.0,7.0,53.0,8254.0,2.79,3.76,1.0,800917,0,0,2.6418953468552924e-05,3.560403764937598e-05,15.9501,1.9892
6474.0,63360.0,60.0,1056.0,0.0,0,119.0,29.0,0.0,54.0,0.0,16.0,70.0,0.0,49.0,3181.77,29108.36,1.0,75685.0,31.0,28.0,5.0,1.0,9.0,60.8,8208.0,1.89,2.26,2.0,550814,1,0,2.4971923102332033e-05,2.9860606460989624e-05,39.9792,1.97
5523.0,93888.0,36.0,2608.0,0.0,2,19.0,2.0,0.0,7.0,5.0,0.0,7.0,0.0,12.0,7121.92,37510.49,1.0,86513.0,38.0,36.0,5.0,1.0,5.0,50.5,8288.0,3.79,4.52,1.0,501020,0,0,4.380844497358779e-05,5.2246483187497826e-05,43.0188,0.0503
5657.0,4980.0,12.0,415.0,0.0,0,46.0,11.0,0.0,17.0,0.0,10.0,27.0,0.0,19.0,3932.5,30533.37,3.0,86513.0,38.0,36.0,5.0,1.0,5.0,50.5,8288.0,3.79,4.52,1.0,520726,0,0,4.380844497358779e-05,5.2246483187497826e-05,41.9979,0.96
6526.0,288468.0,36.0,8013.0,0.0,0,17.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,14.0,8402.38,36999.52,0.0,86513.0,38.0,36.0,5.0,1.0,5.0,50.5,8288.0,3.79,4.52,1.0,581026,0,0,4.380844497358779e-05,5.2246483187497826e-05,36.9077,0.9274
6509.0,55368.0,24.0,2307.0,0.0,0,98.0,25.0,0.0,51.0,0.0,0.0,39.0,12.0,47.0,8702.48,46061.32,0.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,1.0,391225,0,0,8.117747933779472e-06,1.1719998579394111e-05,54.909,0.9997
6808.0,227880.0,36.0,6330.0,0.0,0,83.0,21.0,0.0,38.0,0.0,0.0,36.0,2.0,45.0,8156.79,45134.72,0.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,2.0,551104,0,0,8.117747933779472e-06,1.1719998579394111e-05,38.9908,1.0087
6745.0,47304.0,24.0,1971.0,0.0,0,167.0,42.0,0.0,77.0,0.0,14.0,83.0,8.0,76.0,13867.85,68740.02,1.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,1.0,710803,1,0,8.117747933779472e-06,1.1719998579394111e-05,23.9607,1.93
6764.0,33984.0,48.0,708.0,0.0,0,70.0,14.0,0.0,34.0,0.0,0.0,34.0,0.0,36.0,4598.14,38587.76,0.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,1.0,720804,1,0,8.117747933779472e-06,1.1719998579394111e-05,23.0022,1.0002
6933.0,188688.0,48.0,3931.0,0.0,0,22.0,2.0,0.0,9.0,5.0,1.0,7.0,3.0,12.0,10873.77,42203.17,2.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,1.0,650723,0,0,8.117747933779472e-06,1.1719998579394111e-05,30.0186,0.0507
5494.0,360000.0,48.0,7500.0,0.0,2,136.0,2.0,0.0,79.0,19.0,0.0,72.0,7.0,57.0,14897.4,51149.66,1.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,1.0,730307,0,0,8.117747933779472e-06,1.1719998579394111e-05,23.0306,1.95
5725.0,444864.0,48.0,9268.0,0.0,0,64.0,17.0,0.0,25.0,0.0,12.0,37.0,0.0,27.0,6433.18,32404.77,2.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,2.0,640329,1,0,8.117747933779472e-06,1.1719998579394111e-05,32.0394,0.9908
6283.0,85632.0,48.0,1784.0,0.0,0,85.0,23.0,0.0,47.0,0.0,0.0,46.0,1.0,38.0,15232.29,65066.74,0.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,1.0,490407,0,0,8.117747933779472e-06,1.1719998579394111e-05,47.0404,1.0406
6995.0,96168.0,12.0,8014.0,0.0,1,149.0,27.0,0.0,65.0,0.0,0.0,59.0,6.0,84.0,8240.56,50492.69,0.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,1.0,720812,0,0,8.117747933779472e-06,1.1719998579394111e-05,24.0114,1.0807
6585.0,372120.0,60.0,6202.0,0.0,0,172.0,50.0,0.0,101.0,0.0,0.0,91.0,10.0,71.0,15182.1,64044.05,0.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,2.0,450126,1,0,8.117747933779472e-06,1.1719998579394111e-05,51.0903,1.0924
6073.0,276300.0,60.0,4605.0,0.0,0,92.0,30.0,0.0,36.0,0.0,11.0,47.0,0.0,45.0,3104.78,25997.56,1.0,197099.0,29.0,41.0,10.0,2.0,10.0,74.7,9624.0,1.60,2.31,1.0,760706,1,0,8.117747933779472e-06,1.1719998579394111e-05,20.0406,1.0398
7104.0,259740.0,60.0,4329.0,0.0,0,17.0,1.0,0.0,6.0,5.0,1.0,7.0,0.0,10.0,13038.09,45198.15,2.0,228848.0,15.0,40.0,18.0,2.0,6.0,57.2,9893.0,4.09,4.72,1.0,790316,1,0,1.7872124729077816e-05,2.0625043697126477e-05,14.0897,0.0502
